cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.6338,0.0,0.3438,0.7027,0.875,0.875,5.5,0.5771,0.0992,0.0981,1.8537,1.3e-05,1640.691,0.0,13.36333179473877,False,0.25,0.25,0.25,0.25,0.3438,0.0,0.0
2,GSM8K,fixed_grpo,0.30283,0.0,0.3094,0.6715,0.875,0.875,4.95,0.6729,0.0751,0.0743,1.9768,1.8e-05,1640.691,0.0,13.243010520935059,False,0.25,0.25,0.25,0.25,0.3094,0.0,0.0
3,GSM8K,fixed_grpo,0.37578,0.0,0.3438,0.7031,0.9,0.9,5.5,0.6523,0.0986,0.0759,1.8153,2.2e-05,1640.691,0.0,13.608484268188477,False,0.25,0.25,0.25,0.25,0.3438,0.0,0.0
4,GSM8K,fixed_grpo,0.32003,0.0,0.3187,0.6632,0.875,0.875,5.1,0.6534,0.0956,0.0709,1.878,2.5e-05,1640.691,0.0,13.37293815612793,False,0.25,0.25,0.25,0.25,0.3187,0.0,0.0
5,GSM8K,fixed_grpo,0.39163,0.0,0.2969,0.6351,0.85,0.85,4.75,0.7407,0.0808,0.0586,1.9876,2.8e-05,1640.691,0.0,13.373457908630371,False,0.25,0.25,0.25,0.25,0.2969,0.0,0.0
6,Code,fixed_grpo,0.58682,0.08281,0.2422,0.5499,0.775,0.775,3.8,0.7429,0.0902,0.047,1.8694,3.8e-05,1640.691,0.0,13.276311874389648,False,0.25,0.25,0.25,0.25,0.3797,0.2422,0.0
7,Code,fixed_grpo,0.62532,0.0875,0.1672,0.4089,0.675,0.675,2.575,0.789,0.0892,0.0441,1.8614,4.9e-05,1640.691,0.0,12.35126781463623,False,0.25,0.25,0.25,0.25,0.3844,0.1672,0.0
8,Code,fixed_grpo,0.73579,0.08125,0.1578,0.3959,0.65,0.65,2.375,0.7909,0.0805,0.0416,1.9583,5.7e-05,1640.691,0.0,12.070571899414062,False,0.25,0.25,0.25,0.25,0.3781,0.1578,0.0
9,Code,fixed_grpo,1.15119,0.19531,0.1547,0.3777,0.7,0.7,2.425,0.8019,0.0746,0.0365,1.8962,6.2e-05,1640.691,0.0,11.927840232849121,False,0.25,0.25,0.25,0.25,0.4922,0.1547,0.0
10,Code,fixed_grpo,1.0975,0.16875,0.1437,0.3687,0.65,0.65,2.225,0.7975,0.0807,0.0436,1.8645,6.8e-05,1640.691,0.0,12.901508331298828,False,0.25,0.25,0.25,0.25,0.4656,0.1437,0.0
11,MedicalMC,fixed_grpo,1.16563,0.10156,0.2578,0.6457,0.975,0.975,4.1,0.8211,0.0377,0.0896,2.2647,7.2e-05,1640.691,0.0,13.687121391296387,False,0.25,0.25,0.25,0.25,0.4953,0.1484,0.2578
12,MedicalMC,fixed_grpo,0.98912,0.13828,0.2234,0.5639,0.85,0.85,3.575,0.6941,0.0285,0.1373,1.9399,7.7e-05,1640.691,0.0,13.96937084197998,False,0.25,0.25,0.25,0.25,0.5109,0.2062,0.2234
13,MedicalMC,fixed_grpo,1.18092,0.15391,0.1953,0.5766,0.975,0.975,3.125,0.7747,0.0187,0.098,2.0636,8.1e-05,1640.691,0.0,13.617371559143066,False,0.25,0.25,0.25,0.25,0.5656,0.1828,0.1953
14,MedicalMC,fixed_grpo,1.19563,0.15859,0.1625,0.505,0.875,0.875,2.6,0.7091,0.0146,0.1019,2.2482,8.4e-05,1640.691,0.0,13.594708442687988,False,0.25,0.25,0.25,0.25,0.5859,0.1719,0.1625
15,MedicalMC,fixed_grpo,1.47516,0.13281,0.2281,0.6225,0.975,0.975,3.65,0.8448,0.0162,0.0629,2.2624,8.7e-05,1640.691,0.0,13.534682273864746,False,0.25,0.25,0.25,0.25,0.5375,0.1688,0.2281
