cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.6511,0.0,0.375,0.7215,0.9,0.9,6.0,0.541,0.0863,0.0974,1.7456,1.2e-05,1640.691,0.0,13.629610061645508,False,0.25,0.25,0.25,0.25,0.375,0.0,0.0
2,GSM8K,fixed_grpo,0.29797,0.0,0.4109,0.7423,0.9,0.9,6.525,0.5243,0.0956,0.1122,1.6504,1.7e-05,1640.691,0.0,12.968098640441895,False,0.25,0.25,0.25,0.25,0.4109,0.0,0.0
3,GSM8K,fixed_grpo,0.28395,0.0,0.4313,0.7638,0.9,0.9,6.85,0.5045,0.0899,0.1099,1.5994,2.1e-05,1640.691,0.0,13.701128005981445,False,0.25,0.25,0.25,0.25,0.4313,0.0,0.0
4,GSM8K,fixed_grpo,0.21605,0.0,0.4047,0.7435,0.9,0.9,6.425,0.472,0.1065,0.1287,1.6348,2.4e-05,1640.691,0.0,13.2839937210083,False,0.25,0.25,0.25,0.25,0.4047,0.0,0.0
5,GSM8K,fixed_grpo,0.20374,0.0,0.3422,0.6622,0.825,0.825,5.475,0.5105,0.1057,0.119,1.7906,2.7e-05,1640.691,0.0,13.48944091796875,False,0.25,0.25,0.25,0.25,0.3422,0.0,0.0
6,Code,fixed_grpo,0.67981,0.12031,0.2953,0.5954,0.825,0.825,4.525,0.6871,0.0881,0.0534,1.8404,3.6e-05,1640.691,0.0,13.474494934082031,False,0.25,0.25,0.25,0.25,0.4625,0.2953,0.0
7,Code,fixed_grpo,1.06165,0.2125,0.3156,0.623,0.8,0.8,4.825,0.6788,0.0975,0.0549,1.7906,4.4e-05,1640.691,0.0,12.7848539352417,False,0.25,0.25,0.25,0.25,0.5547,0.3156,0.0
8,Code,fixed_grpo,1.07586,0.225,0.2766,0.5711,0.775,0.775,4.075,0.6995,0.0879,0.0507,1.8657,4.8e-05,1640.691,0.0,12.443279266357422,False,0.25,0.25,0.25,0.25,0.5672,0.2766,0.0
9,Code,fixed_grpo,0.96605,0.15,0.2906,0.6093,0.775,0.775,4.375,0.6885,0.087,0.0555,1.7889,5.2e-05,1640.691,0.0,12.140219688415527,False,0.25,0.25,0.25,0.25,0.4922,0.2906,0.0
10,Code,fixed_grpo,1.25057,0.2375,0.2719,0.5701,0.725,0.725,4.175,0.6946,0.0918,0.055,1.8929,5.6e-05,1640.691,0.0,13.381479263305664,False,0.25,0.25,0.25,0.25,0.5797,0.2719,0.0
11,MedicalMC,fixed_grpo,0.98135,0.09063,0.3172,0.6821,0.95,0.95,5.075,0.7708,0.0524,0.106,2.464,6e-05,1640.691,0.0,13.674552917480469,False,0.25,0.25,0.25,0.25,0.5016,0.2938,0.3172
12,MedicalMC,fixed_grpo,1.16779,0.16172,0.3234,0.7029,0.975,0.975,5.175,0.7209,0.0767,0.1567,2.4979,6.6e-05,1640.691,0.0,13.77995777130127,False,0.25,0.25,0.25,0.25,0.5813,0.3563,0.3234
13,MedicalMC,fixed_grpo,1.26495,0.19609,0.2625,0.5978,0.875,0.875,4.2,0.7602,0.0596,0.0962,2.3874,7e-05,1640.691,0.0,13.60925006866455,False,0.25,0.25,0.25,0.25,0.5781,0.4281,0.2625
14,MedicalMC,fixed_grpo,1.58101,0.19766,0.3172,0.6661,0.95,0.95,5.075,0.7757,0.0643,0.1085,2.4232,7.3e-05,1640.691,0.0,13.546235084533691,False,0.25,0.25,0.25,0.25,0.5938,0.4156,0.3172
15,MedicalMC,fixed_grpo,1.55556,0.18359,0.3453,0.7289,0.975,0.975,5.525,0.7896,0.0552,0.0872,2.4613,7.6e-05,1640.691,0.0,13.539209365844727,False,0.25,0.25,0.25,0.25,0.5609,0.4203,0.3453
