cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.67641,0.0,0.3984,0.7078,0.85,0.85,6.3,0.5458,0.091,0.0855,1.7332,1.3e-05,1640.691,0.0,14.371285438537598,False,0.25,0.25,0.25,0.25,0.3984,0.0,0.0
2,GSM8K,fixed_grpo,0.3118,0.0,0.4281,0.7439,0.875,0.875,6.85,0.5647,0.0976,0.084,1.6719,1.8e-05,1640.691,0.0,14.09720516204834,False,0.25,0.25,0.25,0.25,0.4281,0.0,0.0
3,GSM8K,fixed_grpo,0.31473,0.0,0.45,0.7607,0.9,0.9,7.2,0.5621,0.0981,0.0821,1.585,2.2e-05,1640.691,0.0,14.445056915283203,False,0.25,0.25,0.25,0.25,0.45,0.0,0.0
4,GSM8K,fixed_grpo,0.33182,0.0,0.4609,0.7307,0.825,0.825,7.375,0.5902,0.0967,0.0804,1.5131,2.5e-05,1640.691,0.0,14.1722412109375,False,0.25,0.25,0.25,0.25,0.4609,0.0,0.0
5,GSM8K,fixed_grpo,0.26345,0.0,0.4313,0.7083,0.875,0.875,6.85,0.5425,0.1035,0.0902,1.5859,2.8e-05,1640.691,0.0,14.27704906463623,False,0.25,0.25,0.25,0.25,0.4313,0.0,0.0
6,Code,fixed_grpo,0.00623,-0.05469,0.25,0.5485,0.775,0.775,3.85,0.722,0.0969,0.0517,1.7819,3.6e-05,1640.691,0.0,11.712757110595703,False,0.25,0.25,0.25,0.25,0.3766,0.25,0.0
7,Code,fixed_grpo,0.52462,0.02187,0.2344,0.5295,0.7,0.7,3.65,0.7791,0.0874,0.0399,1.8331,4.8e-05,1640.691,0.0,11.487112998962402,False,0.25,0.25,0.25,0.25,0.4531,0.2344,0.0
8,Code,fixed_grpo,0.66712,0.075,0.1859,0.4255,0.675,0.675,2.9,0.7933,0.0826,0.0429,1.8585,5.5e-05,1640.691,0.0,12.88268756866455,False,0.25,0.25,0.25,0.25,0.5062,0.1859,0.0
9,Code,fixed_grpo,0.64909,0.02969,0.1969,0.4609,0.7,0.7,3.1,0.8003,0.0785,0.0352,1.855,6.1e-05,1640.691,0.0,11.88716983795166,False,0.25,0.25,0.25,0.25,0.4609,0.1969,0.0
10,Code,fixed_grpo,0.45441,-0.03125,0.2094,0.4497,0.625,0.625,3.325,0.8005,0.0854,0.0362,1.831,6.5e-05,1640.691,0.0,11.098799705505371,False,0.25,0.25,0.25,0.25,0.4,0.2094,0.0
11,MedicalMC,fixed_grpo,0.93427,0.04219,0.3078,0.6555,0.975,0.975,4.925,0.8338,0.0582,0.0668,2.2936,6.9e-05,1640.691,0.0,13.280763626098633,False,0.25,0.25,0.25,0.25,0.4891,0.2359,0.3078
12,MedicalMC,fixed_grpo,0.87698,0.06875,0.3,0.6362,0.875,0.875,4.8,0.8255,0.0448,0.0696,2.2505,7.4e-05,1640.691,0.0,13.462656021118164,False,0.25,0.25,0.25,0.25,0.4891,0.2891,0.3
13,MedicalMC,fixed_grpo,1.03773,0.10547,0.2812,0.6388,0.925,0.925,4.5,0.8316,0.0611,0.0799,2.3701,7.7e-05,1640.691,0.0,13.550331115722656,False,0.25,0.25,0.25,0.25,0.5625,0.2891,0.2812
14,MedicalMC,fixed_grpo,1.12122,0.1125,0.25,0.6004,0.925,0.925,4.0,0.8615,0.0399,0.0604,2.3084,8e-05,1640.691,0.0,13.125856399536133,False,0.25,0.25,0.25,0.25,0.5656,0.3,0.25
15,MedicalMC,fixed_grpo,1.23705,0.1,0.275,0.6297,0.925,0.925,4.4,0.8619,0.0457,0.0564,2.3621,8.2e-05,1640.691,0.0,13.918512344360352,False,0.25,0.25,0.25,0.25,0.5672,0.2734,0.275
