cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.65263,0.0,0.3781,0.7387,0.925,0.925,6.0,0.5388,0.0886,0.1027,1.7106,1.2e-05,1640.691,0.0,13.73415756225586,False,0.25,0.25,0.25,0.25,0.3781,0.0,0.0
2,GSM8K,fixed_grpo,0.32109,0.0,0.4313,0.7297,0.875,0.875,6.875,0.5373,0.1059,0.0798,1.5912,1.8e-05,1640.691,0.0,14.155282020568848,False,0.25,0.25,0.25,0.25,0.4313,0.0,0.0
3,GSM8K,fixed_grpo,0.23574,0.0,0.3766,0.6905,0.825,0.825,6.025,0.5764,0.0923,0.0924,1.7273,2.2e-05,1640.691,0.0,13.635330200195312,False,0.25,0.25,0.25,0.25,0.3766,0.0,0.0
4,GSM8K,fixed_grpo,0.35268,0.0,0.4313,0.727,0.9,0.9,6.9,0.537,0.1052,0.097,1.5453,2.5e-05,1640.691,0.0,13.239636421203613,False,0.25,0.25,0.25,0.25,0.4313,0.0,0.0
5,GSM8K,fixed_grpo,0.25053,0.0,0.3953,0.711,0.9,0.9,6.3,0.5343,0.1065,0.0993,1.6759,2.8e-05,1640.691,0.0,13.585980415344238,False,0.25,0.25,0.25,0.25,0.3953,0.0,0.0
6,Code,fixed_grpo,0.6571,0.14844,0.2625,0.5748,0.8,0.8,4.025,0.7226,0.096,0.05,1.7894,3.8e-05,1640.691,0.0,13.382333755493164,False,0.25,0.25,0.25,0.25,0.5437,0.2625,0.0
7,Code,fixed_grpo,0.83581,0.14219,0.2234,0.4869,0.675,0.675,3.425,0.7773,0.0928,0.0394,1.8719,4.8e-05,1640.691,0.0,12.28553581237793,False,0.25,0.25,0.25,0.25,0.5375,0.2234,0.0
8,Code,fixed_grpo,0.92572,0.15937,0.1781,0.4057,0.65,0.65,2.775,0.7912,0.0837,0.0417,1.8378,5.5e-05,1640.691,0.0,12.170939445495605,False,0.25,0.25,0.25,0.25,0.5547,0.1781,0.0
9,Code,fixed_grpo,0.99354,0.14375,0.1766,0.4109,0.625,0.625,2.75,0.8026,0.0829,0.0383,1.8642,6.1e-05,1640.691,0.0,12.14876937866211,False,0.25,0.25,0.25,0.25,0.5391,0.1766,0.0
10,Code,fixed_grpo,0.91311,0.10469,0.1734,0.4161,0.675,0.675,2.675,0.8153,0.0833,0.0298,1.9304,6.6e-05,1640.691,0.0,13.030198097229004,False,0.25,0.25,0.25,0.25,0.5,0.1734,0.0
11,MedicalMC,fixed_grpo,1.15517,0.07734,0.3078,0.6916,0.975,0.975,4.875,0.8707,0.0342,0.0374,2.1145,7e-05,1640.691,0.0,13.713272094726562,False,0.25,0.25,0.25,0.25,0.5078,0.2156,0.3078
12,MedicalMC,fixed_grpo,1.20821,0.14609,0.3438,0.7195,0.95,0.95,3.975,0.8528,0.1908,0.0097,1.5483,7.5e-05,1640.691,0.0,13.806753158569336,False,0.25,0.25,0.25,0.25,0.5766,0.2844,0.3438
13,MedicalMC,fixed_grpo,1.1787,0.16797,0.2875,0.7117,1.0,1.0,4.6,0.8095,0.0878,0.0573,2.4484,7.8e-05,1640.691,0.0,13.652141571044922,False,0.25,0.25,0.25,0.25,0.5234,0.3812,0.2875
14,MedicalMC,fixed_grpo,1.5806,0.20156,0.3328,0.7283,1.0,1.0,5.225,0.7918,0.0555,0.1056,2.3066,8.1e-05,1640.691,0.0,13.594670295715332,False,0.25,0.25,0.25,0.25,0.5844,0.3875,0.3328
15,MedicalMC,fixed_grpo,1.29697,0.15,0.3219,0.6728,0.975,0.975,5.05,0.7706,0.0534,0.1269,2.0973,8.3e-05,1640.691,0.0,13.575777053833008,False,0.25,0.25,0.25,0.25,0.5094,0.3594,0.3219
