cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@8,coverage_solved,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_MedicalMC
1,GSM8K,nsiac,0.61212,0.0,0.3,0.6521,0.75,0.75,0.6257,0.1022,0.1238,1.5793,9e-06,1640.691,0.0,13.802813529968262,False,0.25,0.25,0.25,0.25,0.3,0.0
2,GSM8K,nsiac,0.32747,0.0,0.325,0.7164,0.85,0.85,0.6137,0.1122,0.1275,1.5104,1.3e-05,1640.691,0.0,13.34901237487793,False,0.25,0.25,0.25,0.25,0.325,0.0
3,MedicalMC,nsiac,0.41318,-0.00625,0.35,0.7421,0.8,0.8,0.7328,0.053,0.17,1.8476,1.4e-05,1640.691,0.0,13.687222480773926,False,0.1384,0.385,0.1179,0.3586,0.2938,0.35
4,MedicalMC,nsiac,0.30474,-0.025,0.3063,0.7257,0.9,0.9,0.7115,0.0664,0.1407,1.839,1.6e-05,1640.691,0.0,13.542779922485352,False,0.1374,0.3851,0.1198,0.3577,0.275,0.3063
