cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.51079,0.0,0.2719,0.6053,0.875,0.875,4.3,0.4841,0.1042,0.1181,1.8535,0.0,1640.691,0.0,13.576881408691406,False,0.25,0.25,0.25,0.25,0.2719,0.0,0.0
2,Code,fixed_grpo,0.34803,-0.00937,0.3094,0.61,0.8,0.8,4.7,0.6605,0.0895,0.0625,1.8113,0.0,1640.691,0.0,12.85366439819336,False,0.25,0.25,0.25,0.25,0.2625,0.3094,0.0
3,MedicalMC,fixed_grpo,0.38206,-0.00469,0.3031,0.677,0.975,0.975,4.85,0.7624,0.0577,0.1066,2.4239,0.0,1640.691,0.0,13.673440933227539,False,0.25,0.25,0.25,0.25,0.2594,0.3125,0.3031
4,GSM8K,fixed_grpo,0.1673,-0.00781,0.2609,0.5985,0.825,0.825,4.15,0.4827,0.105,0.1219,1.8481,0.0,1640.691,0.0,13.506645202636719,False,0.25,0.25,0.25,0.25,0.2609,0.2859,0.3109
5,Code,fixed_grpo,0.43291,0.00078,0.3063,0.615,0.775,0.775,4.725,0.6644,0.098,0.0647,1.8812,0.0,1640.691,0.0,13.232525825500488,False,0.25,0.25,0.25,0.25,0.2609,0.3063,0.3047
6,MedicalMC,fixed_grpo,0.43738,-0.00234,0.2984,0.6771,0.9,0.9,4.775,0.7633,0.0568,0.113,2.4434,0.0,1640.691,0.0,13.493696212768555,False,0.25,0.25,0.25,0.25,0.2656,0.2969,0.2984
