cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.75999,0.0,0.5047,0.7681,0.875,0.875,7.925,0.504,0.1048,0.0887,1.4158,1.3e-05,1640.691,0.0,14.49232006072998,False,0.25,0.25,0.25,0.25,0.5047,0.0,0.0
2,GSM8K,fixed_grpo,0.16828,0.0,0.4703,0.7584,0.925,0.925,7.175,0.4354,0.1162,0.1108,1.4787,1.8e-05,1640.691,0.0,14.304153442382812,False,0.25,0.25,0.25,0.25,0.4703,0.0,0.0
3,GSM8K,fixed_grpo,0.25305,0.0,0.4938,0.7366,0.85,0.85,7.625,0.4535,0.116,0.0926,1.3504,2.2e-05,1640.691,0.0,14.420105934143066,False,0.25,0.25,0.25,0.25,0.4938,0.0,0.0
4,GSM8K,fixed_grpo,0.18558,0.0,0.4469,0.7618,0.925,0.925,6.85,0.4624,0.1142,0.094,1.5253,2.5e-05,1640.691,0.0,14.220743179321289,False,0.25,0.25,0.25,0.25,0.4469,0.0,0.0
5,GSM8K,fixed_grpo,0.33079,0.0,0.525,0.78,0.925,0.925,7.85,0.4322,0.1304,0.0753,1.3328,2.8e-05,1640.691,0.0,14.456815719604492,False,0.25,0.25,0.25,0.25,0.525,0.0,0.0
6,Code,fixed_grpo,0.0284,-0.03438,0.3312,0.6472,0.775,0.775,4.875,0.6663,0.1021,0.0612,1.7732,3.5e-05,1640.691,0.0,12.093255043029785,False,0.25,0.25,0.25,0.25,0.4906,0.3312,0.0
7,Code,fixed_grpo,0.35505,-0.01719,0.325,0.6452,0.8,0.8,4.875,0.6721,0.0933,0.0577,1.8239,4.4e-05,1640.691,0.0,11.917279243469238,False,0.25,0.25,0.25,0.25,0.5078,0.325,0.0
8,Code,fixed_grpo,0.48191,0.00625,0.3469,0.6505,0.775,0.775,5.25,0.6608,0.0964,0.0556,1.8138,4.8e-05,1640.691,0.0,13.277138710021973,False,0.25,0.25,0.25,0.25,0.5312,0.3469,0.0
9,Code,fixed_grpo,0.21406,-0.05,0.3109,0.6007,0.725,0.725,4.7,0.6717,0.0951,0.0558,1.8274,5.2e-05,1640.691,0.0,12.576773643493652,False,0.25,0.25,0.25,0.25,0.475,0.3109,0.0
10,Code,fixed_grpo,0.35725,-0.025,0.3016,0.5929,0.8,0.8,4.35,0.6634,0.0945,0.0606,1.8417,5.5e-05,1640.691,0.0,12.793025970458984,False,0.25,0.25,0.25,0.25,0.5,0.3016,0.0
11,MedicalMC,fixed_grpo,0.6164,0.01484,0.2906,0.6601,0.95,0.95,4.625,0.7676,0.0471,0.0809,2.0675,6e-05,1640.691,0.0,13.362153053283691,False,0.25,0.25,0.25,0.25,0.5172,0.3391,0.2906
12,MedicalMC,fixed_grpo,0.65759,0.02891,0.2781,0.6709,0.925,0.925,4.4,0.7568,0.0518,0.1025,1.8943,6.4e-05,1640.691,0.0,13.508172035217285,False,0.25,0.25,0.25,0.25,0.4734,0.4109,0.2781
13,MedicalMC,fixed_grpo,0.90159,0.08437,0.2703,0.6848,0.95,0.95,4.125,0.713,0.0602,0.171,2.1311,6.8e-05,1640.691,0.0,13.616296768188477,False,0.25,0.25,0.25,0.25,0.5516,0.4437,0.2703
14,MedicalMC,fixed_grpo,0.68829,0.01328,0.2875,0.6817,0.975,0.975,4.6,0.7296,0.0793,0.1446,2.5472,7.1e-05,1640.691,0.0,13.279414176940918,False,0.25,0.25,0.25,0.25,0.4906,0.3625,0.2875
15,MedicalMC,fixed_grpo,0.77178,0.05469,0.2344,0.5985,0.925,0.925,3.75,0.7232,0.0594,0.151,2.5876,7.4e-05,1640.691,0.0,13.995231628417969,False,0.25,0.25,0.25,0.25,0.5391,0.3969,0.2344
