cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.52697,0.0,0.29,0.6173,0.86,0.86,4.58,0.4781,0.1025,0.1139,1.8045,0.0,1640.691,0.0,13.576881408691406,False,0.25,0.25,0.25,0.25,0.29,0.0,0.0
2,Code,fixed_grpo,0.24597,-0.0325,0.2963,0.6088,0.84,0.84,4.52,0.6551,0.0965,0.0639,1.8269,0.0,1640.691,0.0,12.85366439819336,False,0.25,0.25,0.25,0.25,0.2575,0.2963,0.0
3,MedicalMC,fixed_grpo,0.3684,-0.01,0.2988,0.6741,0.96,0.96,4.78,0.7461,0.0554,0.1186,2.4471,0.0,1640.691,0.0,13.673440933227539,False,0.25,0.25,0.25,0.25,0.2712,0.295,0.2988
4,GSM8K,fixed_grpo,0.20385,-0.0025,0.2712,0.6014,0.84,0.84,4.32,0.4749,0.1043,0.1177,1.8328,0.0,1640.691,0.0,13.506645202636719,False,0.25,0.25,0.25,0.25,0.2712,0.2925,0.2975
5,Code,fixed_grpo,0.40251,0.00062,0.29,0.5896,0.78,0.78,4.36,0.6797,0.0984,0.0534,1.7966,0.0,1640.691,0.0,13.232525825500488,False,0.25,0.25,0.25,0.25,0.2825,0.29,0.2888
6,MedicalMC,fixed_grpo,0.46348,0.00188,0.3013,0.6829,0.98,0.98,4.82,0.7536,0.0487,0.1131,2.4632,0.0,1640.691,0.0,13.493696212768555,False,0.25,0.25,0.25,0.25,0.3013,0.2637,0.3013
