cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.70416,0.0,0.4188,0.7188,0.9,0.9,6.65,0.5562,0.0844,0.078,1.6589,1e-05,1640.691,0.0,14.4046630859375,False,0.25,0.25,0.25,0.25,0.4188,0.0,0.0
2,GSM8K,nsiac,0.303,0.0,0.4422,0.7207,0.85,0.85,6.975,0.5635,0.1016,0.083,1.5772,1.5e-05,1640.691,0.0,13.95202922821045,False,0.25,0.25,0.25,0.25,0.4422,0.0,0.0
3,GSM8K,nsiac,0.28784,0.0,0.4875,0.7339,0.85,0.85,7.5,0.4754,0.1199,0.0853,1.3939,1.8e-05,1640.691,0.0,14.648886680603027,False,0.3786,0.1668,0.1567,0.298,0.4875,0.0,0.0
4,GSM8K,nsiac,0.26269,0.0,0.5141,0.7897,0.9,0.9,8.025,0.4453,0.1155,0.097,1.3199,2.1e-05,1640.691,0.0,13.876504898071289,False,0.3813,0.1636,0.1559,0.2993,0.5141,0.0,0.0
5,GSM8K,nsiac,0.29073,0.0,0.5531,0.7882,0.875,0.875,8.525,0.4457,0.1205,0.0856,1.2464,2.3e-05,1640.691,0.0,14.346391677856445,False,0.4502,0.1486,0.0489,0.3523,0.5531,0.0,0.0
6,Code,nsiac,0.14519,0.01875,0.3156,0.6135,0.8,0.8,4.825,0.6895,0.0958,0.0538,1.7208,3.2e-05,1640.691,0.0,12.636439323425293,False,0.3506,0.0764,0.3015,0.2715,0.5719,0.3156,0.0
7,Code,nsiac,0.52208,0.04375,0.2797,0.5668,0.75,0.75,4.225,0.7123,0.0879,0.0536,1.7905,3.8e-05,1640.691,0.0,13.063371658325195,False,0.4525,0.1094,0.1301,0.308,0.5969,0.2797,0.0
8,Code,nsiac,0.40443,0.00156,0.2266,0.5016,0.725,0.725,3.55,0.7347,0.0848,0.051,1.9448,4.1e-05,1640.691,0.0,12.907095909118652,False,0.531,0.1035,0.037,0.3284,0.5547,0.2266,0.0
9,Code,nsiac,0.38052,-0.04688,0.2609,0.5466,0.775,0.775,3.95,0.7429,0.0934,0.045,1.8476,4.6e-05,1640.691,0.0,13.469195365905762,False,0.4058,0.0573,0.2763,0.2606,0.5062,0.2609,0.0
10,Code,nsiac,0.60707,0.02344,0.2766,0.5857,0.825,0.825,4.25,0.7181,0.0955,0.0478,1.7974,4.8e-05,1640.691,0.0,12.79028034210205,False,0.15,0.682,0.0842,0.0838,0.5766,0.2766,0.0
11,MedicalMC,nsiac,0.63475,0.0125,0.2687,0.6856,1.0,1.0,4.3,0.8183,0.0761,0.0504,2.6029,5.2e-05,1640.691,0.0,13.327422142028809,False,0.727,0.0615,0.0096,0.2019,0.5531,0.3016,0.2687
12,MedicalMC,nsiac,0.7823,0.02969,0.2984,0.6819,0.975,0.975,4.775,0.7997,0.0659,0.0754,2.5446,5.5e-05,1640.69,0.0,13.668375968933105,False,0.6726,0.0579,0.0434,0.2261,0.5719,0.3172,0.2984
13,MedicalMC,nsiac,0.5776,-0.00312,0.2859,0.6595,0.975,0.975,4.575,0.7776,0.0602,0.1053,2.4102,5.7e-05,1640.69,0.0,13.705972671508789,False,0.6105,0.0821,0.0083,0.2991,0.5687,0.2547,0.2859
14,MedicalMC,nsiac,0.40125,-0.03359,0.2656,0.6498,0.95,0.95,4.25,0.7676,0.0803,0.1105,2.4951,5.9e-05,1640.69,0.0,13.975373268127441,False,0.3683,0.17,0.22,0.2417,0.5906,0.1719,0.2656
15,MedicalMC,nsiac,0.41945,-0.04297,0.2516,0.6622,0.975,0.975,4.025,0.7995,0.0729,0.0796,2.4587,6.1e-05,1640.69,0.0,13.423905372619629,False,0.0318,0.9027,0.0366,0.0289,0.5797,0.1641,0.2516
