cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.7028,0.0,0.4281,0.7408,0.875,0.875,6.825,0.5449,0.1052,0.0881,1.6389,1.3e-05,1640.691,0.0,14.340744972229004,False,0.25,0.25,0.25,0.25,0.4281,0.0,0.0
2,GSM8K,fixed_grpo,0.27457,0.0,0.45,0.7532,0.925,0.925,7.175,0.5123,0.1015,0.0968,1.5461,1.8e-05,1640.691,0.0,14.01191234588623,False,0.25,0.25,0.25,0.25,0.45,0.0,0.0
3,GSM8K,fixed_grpo,0.20753,0.0,0.4078,0.7163,0.85,0.85,6.475,0.499,0.0939,0.0951,1.6439,2.1e-05,1640.691,0.0,14.312329292297363,False,0.25,0.25,0.25,0.25,0.4078,0.0,0.0
4,GSM8K,fixed_grpo,0.40547,0.0,0.5,0.7886,0.95,0.95,7.975,0.5443,0.0993,0.0849,1.4434,2.5e-05,1640.691,0.0,13.833003997802734,False,0.25,0.25,0.25,0.25,0.5,0.0,0.0
5,GSM8K,fixed_grpo,0.21347,0.0,0.4266,0.7589,0.875,0.875,6.775,0.5461,0.0972,0.0788,1.587,2.7e-05,1640.691,0.0,13.474356651306152,False,0.25,0.25,0.25,0.25,0.4266,0.0,0.0
6,Code,fixed_grpo,0.61407,0.13437,0.3094,0.6153,0.8,0.8,4.6,0.6767,0.0934,0.0534,1.724,3.6e-05,1640.691,0.0,12.013460159301758,False,0.25,0.25,0.25,0.25,0.5609,0.3094,0.0
7,Code,fixed_grpo,0.94884,0.17187,0.3375,0.6404,0.825,0.825,5.075,0.6681,0.0974,0.0532,1.7692,4.4e-05,1640.691,0.0,11.894092559814453,False,0.25,0.25,0.25,0.25,0.5984,0.3375,0.0
8,Code,fixed_grpo,0.84262,0.15937,0.2844,0.5606,0.775,0.775,4.3,0.6802,0.0965,0.0626,1.7699,4.8e-05,1640.691,0.0,13.225183486938477,False,0.25,0.25,0.25,0.25,0.5859,0.2844,0.0
9,Code,fixed_grpo,0.93977,0.15156,0.275,0.5945,0.75,0.75,4.25,0.6949,0.0886,0.0591,1.834,5.2e-05,1640.691,0.0,12.379291534423828,False,0.25,0.25,0.25,0.25,0.5781,0.275,0.0
10,Code,fixed_grpo,0.97382,0.14062,0.2828,0.6109,0.8,0.8,4.275,0.6923,0.0916,0.0571,1.8803,5.5e-05,1640.691,0.0,12.610573768615723,False,0.25,0.25,0.25,0.25,0.5672,0.2828,0.0
11,MedicalMC,fixed_grpo,0.40615,-0.03984,0.2938,0.7088,1.0,1.0,4.675,0.7564,0.0499,0.1188,2.327,5.9e-05,1640.691,0.0,13.270096778869629,False,0.25,0.25,0.25,0.25,0.3344,0.2953,0.2938
12,MedicalMC,fixed_grpo,0.72354,0.03828,0.2844,0.6643,0.95,0.95,4.55,0.7593,0.0508,0.1058,2.422,6.4e-05,1640.691,0.0,13.462569236755371,False,0.25,0.25,0.25,0.25,0.4656,0.3203,0.2844
13,MedicalMC,fixed_grpo,0.90765,0.07969,0.3031,0.6779,0.95,0.95,4.85,0.6843,0.0611,0.163,2.5605,6.8e-05,1640.691,0.0,13.550984382629395,False,0.25,0.25,0.25,0.25,0.4578,0.4109,0.3031
14,MedicalMC,fixed_grpo,0.92447,0.07031,0.2891,0.6744,0.925,0.925,4.625,0.7728,0.0548,0.1058,2.4496,7e-05,1640.691,0.0,13.209146499633789,False,0.25,0.25,0.25,0.25,0.4875,0.3625,0.2891
15,MedicalMC,fixed_grpo,1.05591,0.08984,0.2953,0.6811,0.975,0.975,4.725,0.7333,0.0675,0.1036,2.3167,7.3e-05,1640.691,0.0,13.995612144470215,False,0.25,0.25,0.25,0.25,0.5,0.3891,0.2953
