cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.75672,0.0,0.5062,0.7981,0.925,0.925,7.975,0.4971,0.11,0.0799,1.4449,1.2e-05,1640.691,0.0,14.561263084411621,False,0.25,0.25,0.25,0.25,0.5062,0.0,0.0
2,GSM8K,nsiac,0.08543,0.0,0.3937,0.7136,0.85,0.85,6.2,0.437,0.11,0.1128,1.6055,1.6e-05,1640.691,0.0,14.223550796508789,False,0.25,0.25,0.25,0.25,0.3937,0.0,0.0
3,GSM8K,nsiac,0.32823,0.0,0.4922,0.7573,0.85,0.85,7.525,0.435,0.1192,0.0937,1.3649,1.9e-05,1640.691,0.0,14.330084800720215,False,0.3808,0.1805,0.154,0.2847,0.4922,0.0,0.0
4,GSM8K,nsiac,0.21719,0.0,0.4859,0.7685,0.9,0.9,7.5,0.4346,0.1198,0.0982,1.4208,2.2e-05,1640.691,0.0,13.426290512084961,False,0.3741,0.1778,0.1612,0.287,0.4859,0.0,0.0
5,GSM8K,nsiac,0.29153,0.0,0.5344,0.8071,0.95,0.95,8.25,0.4263,0.1237,0.0944,1.3087,2.4e-05,1640.691,0.0,13.51677417755127,False,0.4592,0.1568,0.0604,0.3237,0.5344,0.0,0.0
6,Code,nsiac,0.24531,0.0625,0.2875,0.5715,0.725,0.725,4.375,0.6676,0.0928,0.0537,1.7492,3.3e-05,1640.691,0.0,11.96141529083252,False,0.3433,0.0864,0.2996,0.2707,0.5969,0.2875,0.0
7,Code,nsiac,0.64879,0.0875,0.2594,0.5519,0.75,0.75,4.025,0.6914,0.0906,0.0638,1.7668,3.9e-05,1640.691,0.0,11.88696575164795,False,0.4409,0.1312,0.1265,0.3013,0.6219,0.2594,0.0
8,Code,nsiac,0.77337,0.1,0.2578,0.5453,0.725,0.725,4.0,0.7176,0.0846,0.0562,1.9251,4.2e-05,1640.691,0.0,13.16230297088623,False,0.4975,0.1219,0.029,0.3515,0.6344,0.2578,0.0
9,Code,nsiac,0.762,0.06875,0.2969,0.5886,0.75,0.75,4.4,0.7114,0.0982,0.053,1.7823,4.6e-05,1640.691,0.0,12.472312927246094,False,0.3724,0.0719,0.2604,0.2953,0.6031,0.2969,0.0
10,Code,nsiac,0.61059,0.04062,0.2844,0.5752,0.75,0.75,4.375,0.698,0.0876,0.054,1.845,4.9e-05,1640.691,0.0,12.802282333374023,False,0.113,0.7091,0.0816,0.0963,0.575,0.2844,0.0
11,MedicalMC,nsiac,0.70325,0.02344,0.2969,0.6754,0.95,0.95,4.75,0.795,0.0541,0.067,2.2298,5.1e-05,1640.691,0.0,13.275483131408691,False,0.6509,0.0908,0.0101,0.2483,0.5828,0.2828,0.2969
12,MedicalMC,nsiac,0.87887,0.06953,0.2953,0.6863,0.95,0.95,4.7,0.7965,0.0551,0.0692,2.2556,5.5e-05,1640.691,0.0,13.452378273010254,False,0.5337,0.1037,0.0473,0.3154,0.6547,0.3031,0.2953
13,MedicalMC,nsiac,0.8719,0.05937,0.3047,0.6723,0.95,0.95,4.875,0.7699,0.0665,0.0886,2.2208,5.8e-05,1640.691,0.0,13.741009712219238,False,0.5289,0.1201,0.0069,0.344,0.6141,0.3234,0.3047
14,MedicalMC,nsiac,0.85682,0.05078,0.3016,0.686,0.975,0.975,4.825,0.7831,0.0774,0.0891,2.3555,6.2e-05,1640.691,0.0,13.239948272705078,False,0.3638,0.1378,0.1515,0.3468,0.6156,0.3047,0.3016
15,MedicalMC,nsiac,0.52359,-0.01641,0.2906,0.7033,1.0,1.0,4.65,0.7617,0.0696,0.105,2.4653,6.4e-05,1640.69,0.0,14.052175521850586,False,0.0623,0.7189,0.0419,0.177,0.4437,0.3422,0.2906
