cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.64136,0.0,0.3828,0.7069,0.875,0.875,6.025,0.5134,0.1011,0.1097,1.6199,1.2e-05,1640.691,0.0,13.768739700317383,False,0.25,0.25,0.25,0.25,0.3828,0.0,0.0
2,GSM8K,fixed_grpo,0.34721,0.0,0.4484,0.7851,0.975,0.975,7.175,0.5549,0.0958,0.0741,1.5525,1.8e-05,1640.691,0.0,13.845080375671387,False,0.25,0.25,0.25,0.25,0.4484,0.0,0.0
3,GSM8K,fixed_grpo,0.31146,0.0,0.4578,0.7399,0.925,0.925,7.325,0.5754,0.0857,0.0761,1.5355,2.1e-05,1640.691,0.0,14.238365173339844,False,0.25,0.25,0.25,0.25,0.4578,0.0,0.0
4,GSM8K,fixed_grpo,0.16808,0.0,0.3875,0.687,0.825,0.825,6.15,0.4868,0.1141,0.1237,1.5387,2.5e-05,1640.691,0.0,13.397175788879395,False,0.25,0.25,0.25,0.25,0.3875,0.0,0.0
5,GSM8K,fixed_grpo,0.32721,0.0,0.4359,0.7088,0.825,0.825,6.9,0.4806,0.1073,0.1175,1.5002,2.8e-05,1640.691,0.0,13.380037307739258,False,0.25,0.25,0.25,0.25,0.4359,0.0,0.0
6,Code,fixed_grpo,0.30046,0.02188,0.325,0.6045,0.775,0.775,4.85,0.6545,0.0951,0.0603,1.8014,3.6e-05,1640.691,0.0,13.573456764221191,False,0.25,0.25,0.25,0.25,0.4578,0.325,0.0
7,Code,fixed_grpo,0.59563,0.05469,0.3359,0.6222,0.825,0.825,4.925,0.6779,0.0951,0.0497,1.8459,4.3e-05,1640.691,0.0,12.956843376159668,False,0.25,0.25,0.25,0.25,0.4906,0.3359,0.0
8,Code,fixed_grpo,0.59328,0.05469,0.3422,0.6378,0.825,0.825,5.05,0.6467,0.0982,0.059,1.81,4.7e-05,1640.691,0.0,12.691678047180176,False,0.25,0.25,0.25,0.25,0.4906,0.3422,0.0
9,Code,fixed_grpo,0.67944,0.07656,0.3359,0.6143,0.775,0.775,4.95,0.6553,0.0932,0.0522,1.7928,5.1e-05,1640.691,0.0,12.370682716369629,False,0.25,0.25,0.25,0.25,0.5125,0.3359,0.0
10,Code,fixed_grpo,0.58374,0.04688,0.3078,0.6148,0.75,0.75,4.55,0.6646,0.0879,0.0601,1.8137,5.4e-05,1640.691,0.0,13.433512687683105,False,0.25,0.25,0.25,0.25,0.4828,0.3078,0.0
11,MedicalMC,fixed_grpo,0.75583,0.0625,0.2984,0.6076,0.825,0.825,4.775,0.7307,0.072,0.0924,1.9996,5.9e-05,1640.691,0.0,13.714458465576172,False,0.25,0.25,0.25,0.25,0.4922,0.3766,0.2984
12,MedicalMC,fixed_grpo,0.81157,0.06328,0.3016,0.6589,0.925,0.925,4.825,0.7173,0.0563,0.1446,2.4019,6.5e-05,1640.691,0.0,13.82725715637207,False,0.25,0.25,0.25,0.25,0.5203,0.35,0.3016
13,MedicalMC,fixed_grpo,0.89664,0.09766,0.3016,0.675,0.975,0.975,4.825,0.6198,0.0602,0.2341,2.5879,7e-05,1640.691,0.0,13.637459754943848,False,0.25,0.25,0.25,0.25,0.5531,0.3859,0.3016
14,MedicalMC,fixed_grpo,1.05664,0.11328,0.3172,0.6529,0.9,0.9,5.075,0.6435,0.0699,0.2168,2.6146,7.3e-05,1640.691,0.0,13.594074249267578,False,0.25,0.25,0.25,0.25,0.575,0.3953,0.3172
15,MedicalMC,fixed_grpo,0.81146,0.07344,0.2781,0.6547,0.95,0.95,4.45,0.633,0.0616,0.214,2.5282,7.5e-05,1640.691,0.0,13.633233070373535,False,0.25,0.25,0.25,0.25,0.5641,0.3266,0.2781
