cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.61717,0.0,0.3488,0.7076,0.96,0.96,5.58,0.5347,0.1007,0.1063,1.8079,0.0,1552.422,0.0,14.3838529586792,False,0.25,0.25,0.25,0.25,0.3488,0.0,0.0
2,Code,fixed_grpo,0.33852,0.04,0.3013,0.6267,0.84,0.84,4.48,0.6053,0.092,0.0873,1.8664,0.0,1552.422,0.0,12.848602294921875,False,0.25,0.25,0.25,0.25,0.3887,0.3013,0.0
3,MedicalMC,fixed_grpo,0.4084,0.00062,0.31,0.6903,0.98,0.98,4.8,0.7633,0.0633,0.0589,1.99,0.0,1552.422,0.0,13.758088111877441,False,0.25,0.25,0.25,0.25,0.3688,0.2825,0.31
4,GSM8K,fixed_grpo,0.34,-0.00813,0.385,0.7217,0.9,0.9,6.16,0.5271,0.1036,0.1089,1.6984,0.0,1552.422,0.0,14.05361270904541,False,0.25,0.25,0.25,0.25,0.385,0.285,0.31
5,Code,fixed_grpo,0.21575,0.00062,0.2938,0.6034,0.86,0.86,4.5,0.6002,0.0943,0.0921,1.7395,0.0,1552.422,0.0,13.105761528015137,False,0.25,0.25,0.25,0.25,0.3775,0.2938,0.3187
6,MedicalMC,fixed_grpo,0.33845,-0.02563,0.2812,0.6494,0.94,0.94,4.44,0.7539,0.069,0.065,1.968,0.0,1552.422,0.0,13.790889739990234,False,0.25,0.25,0.25,0.25,0.3713,0.2562,0.2812
