cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@8,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code
1,GSM8K,nsiac,0.61557,0.0,0.3,0.6536,0.75,0.75,2.4,0.6298,0.0965,0.1094,1.3966,8e-06,1640.691,0.099468,0.813755,0.002992,0.0,13.41711139678955,False,0.25,0.25,0.25,0.25,0.3,0.0
2,Code,nsiac,0.68281,0.1375,0.3,0.5314,0.65,0.65,2.3,0.7623,0.1053,0.0414,1.416,2.1e-05,1640.691,0.102864,0.842187,0.003006,0.0,12.806681632995605,False,0.25,0.25,0.25,0.25,0.4375,0.3
