cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.85427,0.0,0.6162,0.846,0.92,0.92,9.64,0.4749,0.1146,0.0691,1.056,1.6e-05,1552.422,0.14312,0.780141,0.003555,0.0,14.491158485412598,False,0.25,0.25,0.25,0.25,0.6162,0.0,0.0
2,GSM8K,fixed_grpo,0.21172,0.0,0.6012,0.8185,0.92,0.92,9.18,0.4749,0.1139,0.0746,1.1177,2.3e-05,1552.422,0.143069,0.780004,0.003523,0.0,14.406824111938477,False,0.25,0.25,0.25,0.25,0.6012,0.0,0.0
3,GSM8K,fixed_grpo,0.27156,0.0,0.6312,0.831,0.94,0.94,9.74,0.4781,0.1252,0.0641,0.9995,2.8e-05,1552.422,0.146301,0.797384,0.003656,0.0,14.52369213104248,False,0.25,0.25,0.25,0.25,0.6312,0.0,0.0
4,GSM8K,fixed_grpo,0.21729,0.0,0.5663,0.8024,0.92,0.92,9.02,0.5551,0.1166,0.0523,1.2201,3.2e-05,1552.422,0.148157,0.807398,0.003724,0.0,14.434025764465332,False,0.25,0.25,0.25,0.25,0.5663,0.0,0.0
5,GSM8K,fixed_grpo,0.33257,0.0,0.5713,0.8314,0.96,0.96,8.98,0.5764,0.102,0.0595,1.233,3.6e-05,1552.422,0.149722,0.815824,0.003786,0.0,14.185891151428223,False,0.25,0.25,0.25,0.25,0.5713,0.0,0.0
6,GSM8K,fixed_grpo,0.32428,0.0,0.5813,0.8301,0.96,0.96,9.18,0.5257,0.0946,0.0708,1.2076,3.9e-05,1552.422,0.150755,0.821396,0.003824,0.0,14.264500617980957,False,0.25,0.25,0.25,0.25,0.5813,0.0,0.0
7,GSM8K,fixed_grpo,0.3392,0.0,0.5475,0.8142,0.94,0.94,8.74,0.6147,0.0864,0.0613,1.3247,4.2e-05,1552.422,0.151631,0.826119,0.003858,0.0,14.255805015563965,False,0.25,0.25,0.25,0.25,0.5475,0.0,0.0
8,GSM8K,fixed_grpo,0.43753,0.0,0.615,0.8482,0.96,0.96,9.68,0.5236,0.098,0.0646,1.1173,4.6e-05,1552.422,0.15288,0.832905,0.003893,0.0,14.476313591003418,False,0.25,0.25,0.25,0.25,0.615,0.0,0.0
9,GSM8K,fixed_grpo,0.31494,0.0,0.5763,0.8352,0.94,0.94,9.16,0.5554,0.1009,0.062,1.216,4.9e-05,1552.422,0.154337,0.840846,0.00393,0.0,14.289652824401855,False,0.25,0.25,0.25,0.25,0.5763,0.0,0.0
10,GSM8K,fixed_grpo,0.4616,0.0,0.6262,0.8572,1.0,1.0,9.86,0.5395,0.1087,0.0554,1.0383,5.1e-05,1552.422,0.154884,0.843793,0.003951,0.0,13.944120407104492,False,0.25,0.25,0.25,0.25,0.6262,0.0,0.0
11,Code,fixed_grpo,0.01637,0.0225,0.3237,0.6205,0.82,0.82,4.86,0.6017,0.0895,0.0853,1.8445,5.7e-05,1552.422,0.164357,0.895972,0.004068,0.0,13.008795738220215,False,0.25,0.25,0.25,0.25,0.6488,0.3237,0.0
12,Code,fixed_grpo,0.68277,0.0475,0.3275,0.6282,0.86,0.86,4.86,0.625,0.085,0.073,1.8137,6.2e-05,1552.422,0.165104,0.899983,0.004099,0.0,12.431720733642578,False,0.25,0.25,0.25,0.25,0.6737,0.3275,0.0
13,Code,fixed_grpo,0.52288,0.01,0.3025,0.6088,0.84,0.84,4.48,0.6388,0.0876,0.0673,1.8015,6.6e-05,1552.422,0.165582,0.902526,0.004125,0.0,12.978392601013184,False,0.25,0.25,0.25,0.25,0.6362,0.3025,0.0
14,Code,fixed_grpo,0.90856,0.06,0.3525,0.6904,0.92,0.92,5.28,0.6424,0.0901,0.0646,1.7711,7e-05,1552.422,0.166391,0.906927,0.004147,0.0,12.970192909240723,False,0.25,0.25,0.25,0.25,0.6863,0.3525,0.0
15,Code,fixed_grpo,0.89523,0.06625,0.36,0.682,0.86,0.86,5.48,0.6467,0.0898,0.0642,1.8285,7.3e-05,1552.422,0.166591,0.907965,0.004164,0.0,13.179082870483398,False,0.25,0.25,0.25,0.25,0.6925,0.36,0.0
16,Code,fixed_grpo,0.86542,0.07,0.335,0.6336,0.84,0.84,5.08,0.6271,0.0893,0.0648,1.7889,7.7e-05,1552.422,0.166757,0.908843,0.004174,0.0,12.810154914855957,False,0.25,0.25,0.25,0.25,0.6963,0.335,0.0
17,Code,fixed_grpo,1.05316,0.0975,0.315,0.638,0.86,0.86,4.76,0.6257,0.0896,0.0627,1.81,8e-05,1552.422,0.166868,0.909406,0.004186,0.0,12.705047607421875,False,0.25,0.25,0.25,0.25,0.7238,0.315,0.0
18,Code,fixed_grpo,1.06587,0.07625,0.305,0.632,0.9,0.9,4.6,0.6657,0.0897,0.0586,1.8028,8.2e-05,1552.422,0.167005,0.91012,0.004196,0.0,12.502867698669434,False,0.25,0.25,0.25,0.25,0.7025,0.305,0.0
19,Code,fixed_grpo,1.40166,0.0925,0.3762,0.6923,0.88,0.88,5.74,0.6524,0.0928,0.0585,1.7543,8.5e-05,1552.422,0.167136,0.910801,0.004206,0.0,12.74765682220459,False,0.25,0.25,0.25,0.25,0.7188,0.3762,0.0
20,Code,fixed_grpo,1.09973,0.07625,0.3387,0.663,0.92,0.92,5.12,0.6633,0.0853,0.0542,1.87,8.7e-05,1552.422,0.1672,0.911129,0.004212,0.0,12.879085540771484,False,0.25,0.25,0.25,0.25,0.7025,0.3387,0.0
21,MedicalMC,fixed_grpo,1.45547,0.05438,0.4025,0.7465,0.92,0.92,5.38,0.773,0.0704,0.0111,1.1671,9e-05,1552.422,0.170447,0.929035,0.004247,0.0,13.570382118225098,False,0.25,0.25,0.25,0.25,0.7188,0.355,0.4025
22,MedicalMC,fixed_grpo,0.8481,0.02688,0.3187,0.7234,1.0,1.0,5.08,0.7434,0.0687,0.0885,1.9897,9.4e-05,1552.422,0.170727,0.930563,0.004255,0.0,13.995709419250488,False,0.25,0.25,0.25,0.25,0.7063,0.3125,0.3187
23,MedicalMC,fixed_grpo,1.09081,0.0325,0.2825,0.7175,1.0,1.0,4.3,0.7585,0.0793,0.0888,1.9285,9.8e-05,1552.422,0.171181,0.933012,0.004272,0.0,13.635762214660645,False,0.25,0.25,0.25,0.25,0.7075,0.3225,0.2825
24,MedicalMC,fixed_grpo,1.83167,0.06625,0.3563,0.7554,0.96,0.96,5.52,0.8143,0.0691,0.0349,1.8545,0.0001,1552.422,0.171494,0.934668,0.00429,0.0,14.091506004333496,False,0.25,0.25,0.25,0.25,0.7262,0.3713,0.3563
25,MedicalMC,fixed_grpo,1.31509,0.03062,0.335,0.7528,0.98,0.98,4.8,0.8151,0.0491,0.0289,1.6279,0.000103,1552.422,0.171675,0.935616,0.004303,0.0,13.945636749267578,False,0.25,0.25,0.25,0.25,0.705,0.3212,0.335
26,MedicalMC,fixed_grpo,1.00746,0.01625,0.265,0.6759,1.0,1.0,4.24,0.783,0.0719,0.0898,2.4547,0.000105,1552.422,0.171748,0.935994,0.004309,0.0,13.797651290893555,False,0.25,0.25,0.25,0.25,0.6887,0.3088,0.265
27,MedicalMC,fixed_grpo,1.4747,0.03375,0.2725,0.6836,1.0,1.0,4.36,0.7504,0.0609,0.138,2.176,0.000107,1552.422,0.171965,0.937149,0.004321,0.0,13.637274742126465,False,0.25,0.25,0.25,0.25,0.6837,0.3488,0.2725
28,MedicalMC,fixed_grpo,1.46555,0.02,0.2875,0.6761,0.96,0.96,4.6,0.7724,0.0722,0.1292,2.2503,0.00011,1552.422,0.172191,0.938357,0.004332,0.0,13.630380630493164,False,0.25,0.25,0.25,0.25,0.7063,0.2988,0.2875
29,MedicalMC,fixed_grpo,1.58332,0.01062,0.33,0.7023,0.92,0.92,5.22,0.7748,0.0614,0.1075,2.0347,0.000112,1552.422,0.172403,0.939489,0.004342,0.0,13.946781158447266,False,0.25,0.25,0.25,0.25,0.6887,0.2975,0.33
