cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.60904,0.0,0.3328,0.6854,0.925,0.925,5.325,0.5465,0.0913,0.0946,1.8282,1e-05,1640.691,0.086452,0.709207,0.002338,0.0,14.190653800964355,False,0.25,0.25,0.25,0.25,0.3328,0.0,0.0
2,GSM8K,nsiac,0.42433,0.0,0.4641,0.7619,0.9,0.9,7.375,0.5648,0.0963,0.0722,1.5266,1.5e-05,1640.691,0.096182,0.787405,0.002821,0.0,14.165106773376465,False,0.25,0.25,0.25,0.25,0.4641,0.0,0.0
3,GSM8K,nsiac,0.35641,0.0,0.5672,0.8206,0.925,0.925,8.775,0.4688,0.1026,0.0772,1.2145,1.8e-05,1640.691,0.099602,0.815381,0.002924,0.0,14.301591873168945,False,0.3796,0.1683,0.1557,0.2964,0.5672,0.0,0.0
4,GSM8K,nsiac,0.15446,0.0,0.4938,0.7613,0.9,0.9,7.775,0.4736,0.1239,0.0819,1.3786,2.1e-05,1640.691,0.100815,0.825081,0.00299,0.0,14.072124481201172,False,0.3827,0.1644,0.1548,0.2981,0.4938,0.0,0.0
5,GSM8K,nsiac,0.33948,0.0,0.5672,0.8037,0.95,0.95,8.875,0.4548,0.1241,0.0802,1.1944,2.3e-05,1640.691,0.101422,0.829942,0.003023,0.0,14.244769096374512,False,0.4565,0.146,0.0498,0.3477,0.5672,0.0,0.0
6,Code,nsiac,-0.11603,-0.05312,0.3094,0.609,0.775,0.775,4.675,0.671,0.0904,0.0588,1.8254,3.2e-05,1640.691,0.10588,0.866323,0.003169,0.0,12.775219917297363,False,0.3449,0.0759,0.3087,0.2706,0.5141,0.3094,0.0
7,Code,nsiac,0.34624,-0.02344,0.3172,0.6099,0.8,0.8,4.75,0.6678,0.1003,0.0585,1.7912,3.8e-05,1640.691,0.106876,0.874306,0.003222,0.0,13.469548225402832,False,0.4466,0.1039,0.1358,0.3137,0.5437,0.3172,0.0
8,Code,nsiac,0.39953,-0.01406,0.3281,0.6335,0.8,0.8,4.925,0.6676,0.0959,0.0541,1.8405,4e-05,1640.691,0.107238,0.877129,0.003251,0.0,13.419051170349121,False,0.5223,0.1023,0.04,0.3355,0.5531,0.3281,0.0
9,Code,nsiac,0.38665,-0.00937,0.3125,0.6432,0.875,0.875,4.725,0.6637,0.1034,0.0548,1.8138,4.5e-05,1640.691,0.107619,0.880171,0.003272,0.0,13.768121719360352,False,0.3912,0.0589,0.2828,0.2672,0.5578,0.3125,0.0
10,Code,nsiac,-0.02826,-0.12969,0.3281,0.6262,0.775,0.775,4.75,0.6396,0.102,0.0595,1.7437,4.8e-05,1640.691,0.107937,0.882687,0.003293,0.0,13.112268447875977,False,0.1387,0.6938,0.0843,0.0832,0.4375,0.3281,0.0
11,MedicalMC,nsiac,0.39706,-0.025,0.2844,0.644,0.975,0.975,4.55,0.7798,0.062,0.0736,2.1927,5.1e-05,1640.691,0.112071,0.916766,0.003383,0.0,13.381376266479492,False,0.7496,0.0565,0.009,0.185,0.5125,0.3328,0.2844
12,MedicalMC,nsiac,0.53588,-0.01016,0.275,0.6605,0.975,0.975,4.4,0.7863,0.0463,0.0744,2.3251,5.5e-05,1640.691,0.114422,0.935853,0.003474,0.0,13.735834121704102,False,0.7037,0.0517,0.039,0.2057,0.5047,0.3703,0.275
13,MedicalMC,nsiac,0.48695,-0.03203,0.2734,0.6795,0.975,0.975,4.375,0.7892,0.0449,0.0753,2.2609,5.7e-05,1640.69,0.115182,0.941853,0.003526,0.0,13.718128204345703,False,0.733,0.0427,0.0052,0.2191,0.5047,0.3266,0.2734
14,MedicalMC,nsiac,0.71044,0.0,0.2906,0.7327,1.0,1.0,4.6,0.813,0.0479,0.0467,2.0858,6e-05,1640.691,0.115977,0.948272,0.003561,0.0,14.025522232055664,False,0.6289,0.0213,0.0973,0.2525,0.5328,0.3625,0.2906
15,MedicalMC,nsiac,0.6464,-0.00391,0.3234,0.7552,1.0,1.0,1.3,0.7663,0.1942,0.0574,1.2437,6.1e-05,1640.69,0.11619,0.949932,0.003579,0.0,14.112338066101074,False,0.5061,0.0208,0.2562,0.2169,0.5203,0.3672,0.3234
