cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@8,coverage_solved,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_MedicalMC
1,GSM8K,nsiac,0.67168,0.0,0.3375,0.645,0.8,0.8,0.6655,0.0985,0.0935,1.4721,8e-06,1640.691,0.0,13.745943069458008,False,0.25,0.25,0.25,0.25,0.3375,0.0
2,GSM8K,nsiac,0.22753,0.0,0.25,0.5486,0.65,0.65,0.6512,0.0907,0.107,1.6371,1.1e-05,1640.691,0.0,13.224344253540039,False,0.25,0.25,0.25,0.25,0.25,0.0
3,MedicalMC,nsiac,0.79386,0.10625,0.325,0.6664,0.8,0.8,0.8675,0.0574,0.0488,1.9635,2.1e-05,1640.691,0.0,12.947745323181152,False,0.1308,0.3649,0.1111,0.3931,0.4437,0.325
4,MedicalMC,nsiac,0.56782,0.0625,0.3125,0.7057,0.9,0.9,0.7887,0.0546,0.1087,1.7652,2.7e-05,1640.691,0.0,13.126019477844238,False,0.1343,0.3642,0.1094,0.3921,0.4,0.3125
